Released_Year,Certificate,Runtime,Genre,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,writer,country_origin,filming_location,production_company,language,oscar
1991.0,4,112,122,76.0,247,140,459,305,547,126082.0,57504069.0,343,112,33,112,6,2.0
1995.0,4,178,87,68.0,325,432,730,635,43,959181.0,75600000.0,506,112,245,255,45,0.0
1985.0,0,132,176,84.0,487,329,447,701,484,187567.0,9929135.0,632,106,399,182,6,2.0
1961.0,4,115,105,76.0,50,50,260,632,114,166544.0,,654,112,10,276,129,0.0
1996.0,3,159,137,76.0,285,194,735,449,386,62428.0,4040691.0,384,18,174,12,6,1.0
1935.0,4,75,160,95.0,213,77,200,151,882,43542.0,4360000.0,700,172,646,690,232,
2015.0,1,142,156,81.0,470,604,507,11,33,287659.0,72313754.0,424,140,642,171,65,0.0
1945.0,0,86,172,92.0,101,109,783,783,451,35601.0,,700,172,646,690,232,
1938.0,4,102,110,91.0,187,346,104,122,894,55163.0,,700,172,646,690,232,
2005.0,4,134,172,87.0,33,276,283,575,726,323103.0,83043761.0,38,10,275,209,149,0.0
1925.0,4,75,156,97.0,448,14,803,282,347,53054.0,50970.0,700,172,646,690,232,
1969.0,1,110,84,66.0,161,473,660,447,832,201888.0,102308889.0,677,144,644,85,149,0.0
2015.0,1,159,25,,437,487,640,673,794,102972.0,6738000.0,700,172,646,690,232,
2005.0,4,129,100,81.0,218,443,500,168,937,31476.0,,700,172,646,690,232,
1972.0,4,124,163,80.0,53,391,548,297,414,48334.0,42765000.0,310,112,97,27,61,0.0
2017.0,1,132,172,93.0,295,44,768,570,30,212651.0,18095701.0,273,6,181,228,81,0.0
1962.0,4,106,179,76.0,194,240,659,662,551,26457.0,,327,112,525,32,6,2.0
1962.0,4,106,179,76.0,194,240,659,662,551,26457.0,,326,112,525,319,6,0.0
2018.0,4,126,137,75.0,346,653,828,90,488,62635.0,1661096.0,700,172,646,690,232,
2016.0,1,147,11,75.0,36,314,119,702,796,663649.0,408084349.0,98,134,482,314,68,0.0
2014.0,1,136,11,70.0,36,314,119,748,796,736182.0,259766572.0,98,112,636,310,28,1.0
2016.0,3,118,100,72.0,319,624,259,745,46,189400.0,5875006.0,426,112,191,180,27,1.0
2013.0,1,134,37,82.0,372,604,66,67,136,421244.0,107100855.0,63,112,382,448,147,6.0
1993.0,4,144,132,65.0,60,9,707,648,427,201000.0,36948322.0,164,112,200,573,152,0.0
1942.0,0,102,175,100.0,329,262,303,639,162,522093.0,1024560.0,700,172,646,690,232,
1995.0,4,178,122,73.0,313,514,713,384,370,466276.0,42438300.0,454,127,362,587,6,1.0
2006.0,2,144,12,80.0,310,145,216,419,392,582239.0,167445960.0,689,106,339,193,33,1.0
2006.0,2,144,12,80.0,310,145,216,419,392,582239.0,167445960.0,447,156,626,123,143,0.0
2000.0,1,143,50,73.0,426,604,285,643,520,524235.0,233632142.0,674,112,413,533,134,2.0
1958.0,4,108,137,84.0,403,185,619,103,351,45062.0,17570324.0,629,87,646,690,6,0.0
2002.0,4,141,84,75.0,470,382,773,143,594,832846.0,164615351.0,610,112,555,304,6,0.0
2002.0,4,141,84,75.0,470,382,773,143,594,832846.0,164615351.0,189,116,53,173,28,2.0
2009.0,4,113,3,,93,395,16,52,569,63882.0,,700,172,646,690,232,
1998.0,3,110,137,80.0,522,209,799,542,819,36419.0,5595428.0,700,172,646,690,232,
2007.0,0,153,141,68.0,452,556,795,735,809,74129.0,1113541.0,259,49,310,165,199,0.0
2008.0,3,141,84,63.0,84,33,142,25,276,239203.0,35739802.0,254,112,521,259,6,3.0
1963.0,0,113,118,83.0,461,104,62,865,361,68689.0,13474588.0,493,112,305,470,39,1.0
2019.0,1,143,100,,359,579,718,847,710,33893.0,898575.0,498,45,637,219,198,0.0
2006.0,4,109,51,84.0,20,337,139,128,620,465113.0,35552383.0,26,161,410,584,221,3.0
1974.0,1,130,170,92.0,431,273,224,399,697,294230.0,29000000.0,540,112,608,392,19,0.0
2008.0,4,125,24,64.0,186,361,421,879,918,58468.0,,700,172,646,690,232,
1994.0,0,102,95,77.0,269,88,749,834,256,63122.0,600200.0,700,172,646,690,232,
2002.0,4,130,122,79.0,135,367,24,483,602,699256.0,7563397.0,700,172,646,690,232,
2005.0,1,144,87,69.0,433,531,650,154,692,176151.0,61649911.0,106,112,385,581,6,3.0
1941.0,1,119,167,100.0,368,468,408,201,5,403351.0,1585634.0,700,172,646,690,232,
1931.0,0,87,105,99.0,74,111,801,235,316,167839.0,19181.0,700,172,646,690,232,
1994.0,3,92,93,70.0,280,85,353,528,546,211450.0,3151130.0,374,112,485,593,6,0.0
1977.0,0,138,176,90.0,470,503,238,811,615,184966.0,132088635.0,615,152,196,275,49,0.0
2017.0,0,105,69,81.0,288,5,50,253,82,384171.0,209726015.0,391,144,471,611,149,0.0
2016.0,3,106,129,,367,411,33,412,120,141516.0,,700,172,646,690,232,
2007.0,3,122,88,78.0,38,539,694,155,22,61609.0,871577.0,147,91,443,61,6,0.0
2007.0,3,122,88,78.0,38,539,694,155,22,61609.0,871577.0,459,43,123,84,202,0.0
1967.0,4,127,122,92.0,471,473,258,790,348,161984.0,16217773.0,155,112,319,270,6,0.0
2009.0,0,100,77,80.0,182,142,760,397,396,197761.0,75286229.0,236,115,476,207,134,1.0
2001.0,0,115,63,61.0,453,592,292,883,76,42897.0,1000045.0,700,172,646,690,232,
2004.0,1,112,132,66.0,373,169,696,814,476,419483.0,54580300.0,472,130,25,67,125,0.0
2004.0,1,112,132,66.0,373,169,696,814,476,419483.0,54580300.0,255,9,604,26,166,0.0
2015.0,4,133,178,82.0,436,434,743,813,706,247666.0,109767581.0,557,112,270,332,149,1.0
1989.0,2,104,100,77.0,532,419,821,79,160,54670.0,18254702.0,691,112,576,266,70,3.0
1998.0,3,127,97,73.0,123,53,732,96,261,50862.0,348660.0,700,172,646,690,232,
2013.0,3,117,85,80.0,218,426,361,350,831,441614.0,27298285.0,700,172,646,690,232,0.0
2000.0,0,140,128,61.0,285,73,106,178,702,102285.0,4184036.0,385,16,238,687,54,1.0
1990.0,0,181,54,72.0,277,355,515,280,753,240266.0,184208848.0,434,152,79,506,146,0.0
2016.0,0,161,16,,359,0,689,230,788,156479.0,12391761.0,499,48,484,14,199,0.0
